ds,yhat,yhat_lower,yhat_upper
2026-08-18 00:00:00,26.312851122445124,24.41451274493265,28.338081765988985
2026-08-18 01:00:00,25.19699824642064,23.26968191573989,26.97399871776475
2026-08-18 02:00:00,24.453561792307497,22.514627061869817,26.19319006871707
2026-08-18 03:00:00,24.411789104332822,22.49399989934671,26.340124699866326
2026-08-18 04:00:00,25.160793072810176,23.091274681769548,27.037545745583103
2026-08-18 05:00:00,26.407654994569167,24.632577476277074,28.346865052359316
2026-08-18 06:00:00,27.602621663670128,25.748216176657937,29.566144035863463
2026-08-18 07:00:00,28.309022955941,26.34459014985625,30.20860906193483
2026-08-18 08:00:00,28.53935325052928,26.65292761928775,30.355715943000323
2026-08-18 09:00:00,28.748325617168874,26.85084414781444,30.617378299564827
2026-08-18 10:00:00,29.440987845518247,27.50329104317636,31.24976762358572
2026-08-18 11:00:00,30.69932191856313,28.818764373668092,32.47113665638068
2026-08-18 12:00:00,32.033352400083,30.22762849127143,33.829183598898524
2026-08-18 13:00:00,32.70702002301817,30.943894477048833,34.53988238816755
2026-08-18 14:00:00,32.28788982186958,30.489399698010452,34.15959824993708
2026-08-18 15:00:00,30.977492983824895,28.94914956756406,32.832652259791715
2026-08-18 16:00:00,29.465529839332625,27.47688282165089,31.383818816529402
2026-08-18 17:00:00,28.445914132529264,26.6128757442513,30.281563118198587
2026-08-18 18:00:00,28.186945200380748,26.30005192809475,30.06506292824038
2026-08-18 19:00:00,28.4567894269459,26.449020784784967,30.420812129909763
2026-08-18 20:00:00,28.783689341934533,26.848977518808073,30.58038641196197
2026-08-18 21:00:00,28.78314747148434,27.01513975745577,30.685948806524884
2026-08-18 22:00:00,28.31100632572419,26.33688496506097,30.312785196766672
2026-08-18 23:00:00,27.422976669200914,25.522377602009676,29.320888436766783
2026-08-19 00:00:00,26.289448720049815,24.35127823871774,28.08118191470618
2026-08-19 01:00:00,25.175233724955632,23.22562129464326,27.055960536674856
